Date,Affected pages
2026-04-24,2
2026-04-25,3
2026-04-26,3
2026-04-27,3
2026-04-28,17
2026-04-29,17
2026-04-30,17
2026-05-01,17
2026-05-02,49
2026-05-03,49
2026-05-04,49
2026-05-05,290
2026-05-06,290
2026-05-07,290
2026-05-08,290
2026-05-09,298
2026-05-10,298
2026-05-11,298
2026-05-12,298
2026-05-13,298
2026-05-14,298
2026-05-15,298
2026-05-16,297
2026-05-17,297
2026-05-18,297
2026-05-19,298
2026-05-20,298
2026-05-21,298
2026-05-22,298
2026-05-23,298
2026-05-24,298
2026-05-25,298
2026-05-26,298
2026-05-27,298
2026-05-28,298
2026-05-29,298
2026-05-30,298
2026-05-31,298
2026-06-01,298
2026-06-02,298
2026-06-03,298
2026-06-04,298
2026-06-05,298
2026-06-06,298
2026-06-07,298
2026-06-08,298
2026-06-09,299
2026-06-10,299
2026-06-11,299
2026-06-12,299
2026-06-13,308
2026-06-14,308
2026-06-15,308
2026-06-16,308
2026-06-17,308
2026-06-18,308
2026-06-19,308
2026-06-20,308
2026-06-21,308
2026-06-22,308
2026-06-23,308
2026-06-24,308
2026-06-25,308
2026-06-26,308
2026-06-27,308
2026-06-28,308
2026-06-29,308
2026-06-30,308
2026-07-01,314
2026-07-02,314
2026-07-03,314
2026-07-04,314
2026-07-05,314
2026-07-06,314
2026-07-07,314
2026-07-08,314
2026-07-09,314
2026-07-10,314