Country,Clicks,Impressions,CTR,Position
United Kingdom,16,21044,0.08%,70.6
United States,2,2329,0.09%,48.76
Hong Kong,2,42,4.76%,30.19
Spain,1,95,1.05%,38.52
Indonesia,1,55,1.82%,52.15
Italy,1,54,1.85%,45.96
Nigeria,1,41,2.44%,34.68
Bangladesh,1,32,3.12%,57.59
Japan,1,23,4.35%,19.61
Australia,0,2232,0%,81.66
Singapore,0,1045,0%,53.8
India,0,209,0%,48.49
Canada,0,208,0%,44.89
Malaysia,0,153,0%,63.71
Germany,0,151,0%,45.03
Ireland,0,111,0%,55.24
United Arab Emirates,0,99,0%,63.47
Netherlands,0,72,0%,29.69
Brazil,0,71,0%,38.48
Philippines,0,58,0%,65.5
Switzerland,0,53,0%,54.55
France,0,51,0%,21.84
New Zealand,0,45,0%,52.49
Vietnam,0,42,0%,39.14
South Africa,0,35,0%,39.83
Russia,0,33,0%,42.94
South Korea,0,33,0%,53.85
Pakistan,0,30,0%,51.17
Colombia,0,27,0%,46.41
Austria,0,22,0%,44.64
Mexico,0,21,0%,34.29
Bulgaria,0,21,0%,64.62
China,0,20,0%,15.3
Argentina,0,19,0%,53.26
Denmark,0,18,0%,33.56
Greece,0,18,0%,54.89
Romania,0,17,0%,29.76
Turkey,0,17,0%,39.47
Thailand,0,16,0%,15.69
Kenya,0,16,0%,43.56
Sweden,0,14,0%,32.93
Portugal,0,13,0%,26.08
Ecuador,0,12,0%,36.75
Ukraine,0,12,0%,38.17
Taiwan,0,10,0%,26.1
Chile,0,10,0%,41.7
Saudi Arabia,0,10,0%,62.9
Czechia,0,9,0%,18.33
Belgium,0,9,0%,21.11
Poland,0,9,0%,35.44
Egypt,0,9,0%,44.67
Morocco,0,9,0%,45.89
Israel,0,9,0%,52.11
Hungary,0,8,0%,29.25
Venezuela,0,7,0%,34.71
Nepal,0,7,0%,38.57
Norway,0,7,0%,41.43
Algeria,0,7,0%,48.71
Iran,0,6,0%,17.67
Lithuania,0,6,0%,30
Finland,0,6,0%,42.17
Dominican Republic,0,6,0%,55.5
Croatia,0,5,0%,35
Ghana,0,5,0%,36
Guatemala,0,5,0%,72.8
Lebanon,0,4,0%,32.5
Panama,0,4,0%,37.25
Serbia,0,4,0%,37.5
Ethiopia,0,4,0%,41.25
Albania,0,4,0%,46
Sri Lanka,0,4,0%,46.5
Jamaica,0,4,0%,57.25
Luxembourg,0,4,0%,63.25
Iraq,0,4,0%,67
Jordan,0,4,0%,71.5
Peru,0,4,0%,72.25
Uzbekistan,0,3,0%,6.33
Paraguay,0,3,0%,33
Belarus,0,3,0%,34
Iceland,0,3,0%,57.67
Zimbabwe,0,3,0%,58.33
Georgia,0,3,0%,63.33
Tunisia,0,3,0%,69.67
Latvia,0,2,0%,5.5
Puerto Rico,0,2,0%,5.5
El Salvador,0,2,0%,8.5
Bahrain,0,2,0%,26.5
Macedonia,0,2,0%,29
Myanmar (Burma),0,2,0%,34.5
Mauritius,0,2,0%,37.5
Rwanda,0,2,0%,43
Brunei,0,2,0%,43.5
Afghanistan,0,2,0%,57.5
Kuwait,0,2,0%,57.5
Estonia,0,2,0%,64.5
Kazakhstan,0,2,0%,65.5
Qatar,0,2,0%,69.5
Mongolia,0,2,0%,79
Haiti,0,1,0%,6
Guinea,0,1,0%,8
Bosnia & Herzegovina,0,1,0%,9
Malta,0,1,0%,9
Suriname,0,1,0%,9
Namibia,0,1,0%,12
Swaziland,0,1,0%,12
Guinea-Bissau,0,1,0%,16
Cuba,0,1,0%,20
Unknown Region,0,1,0%,29
Slovakia,0,1,0%,33
Oman,0,1,0%,39
Benin,0,1,0%,44
Bolivia,0,1,0%,47
Moldova,0,1,0%,47
Tanzania,0,1,0%,47
Bahamas,0,1,0%,53
Monaco,0,1,0%,60
St. Lucia,0,1,0%,61
Libya,0,1,0%,65
Zambia,0,1,0%,65
Curaçao,0,1,0%,68
Palestine,0,1,0%,68
Costa Rica,0,1,0%,74
Azerbaijan,0,1,0%,77
Nicaragua,0,1,0%,78
Somalia,0,1,0%,79
Honduras,0,1,0%,81
Belize,0,1,0%,82
Madagascar,0,1,0%,87
Uruguay,0,1,0%,88
Guyana,0,1,0%,94